Age,Attrition,EmployeeNumber,Gender,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus, MonthlyIncome ,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,1,Female,Travel_Rarely,Sales,1,2,Life Sciences,2,3,2,Sales Executive,4,Single,5993,8,Y,Yes,11,3,1,8,0,1,6,4,0,5
49,No,2,Male,Travel_Frequently,Research & Development,8,1,Life Sciences,3,2,2,Research Scientist,2,Married,5130,1,Y,No,23,4,4,10,3,3,10,7,1,7
37,Yes,4,Male,Travel_Rarely,Research & Development,2,2,Other,4,2,1,Laboratory Technician,3,Single,2090,6,Y,Yes,15,3,2,7,3,3,0,0,0,0
33,No,5,Female,Travel_Frequently,Research & Development,3,4,Life Sciences,4,3,1,Research Scientist,3,Married,2909,1,Y,Yes,11,3,3,8,3,3,8,7,3,0
27,No,7,Male,Travel_Rarely,Research & Development,2,1,Medical,1,3,1,Laboratory Technician,2,Married,3468,9,Y,No,12,3,4,6,3,3,2,2,2,2
32,No,8,Male,Travel_Frequently,Research & Development,2,2,Life Sciences,4,3,1,Laboratory Technician,4,Single,3068,0,Y,No,13,3,3,8,2,2,7,7,3,6
59,No,10,Female,Travel_Rarely,Research & Development,3,3,Medical,3,4,1,Laboratory Technician,1,Married,2670,4,Y,Yes,20,4,1,12,3,2,1,0,0,0
30,No,11,Male,Travel_Rarely,Research & Development,24,1,Life Sciences,4,3,1,Laboratory Technician,3,Divorced,2693,1,Y,No,22,4,2,1,2,3,1,0,0,0
38,No,12,Male,Travel_Frequently,Research & Development,23,3,Life Sciences,4,2,3,Manufacturing Director,3,Single,9526,0,Y,No,21,4,2,10,2,3,9,7,1,8
36,No,13,Male,Travel_Rarely,Research & Development,27,3,Medical,3,3,2,Healthcare Representative,3,Married,5237,6,Y,No,13,3,2,17,3,2,7,7,7,7
35,No,14,Male,Travel_Rarely,Research & Development,16,3,Medical,1,4,1,Laboratory Technician,2,Married,2426,0,Y,No,13,3,3,6,5,3,5,4,0,3
29,No,15,Female,Travel_Rarely,Research & Development,15,2,Life Sciences,4,2,2,Laboratory Technician,3,Single,4193,0,Y,Yes,12,3,4,10,3,3,9,5,0,8
31,No,16,Male,Travel_Rarely,Research & Development,26,1,Life Sciences,1,3,1,Research Scientist,3,Divorced,2911,1,Y,No,17,3,4,5,1,2,5,2,4,3
34,No,18,Male,Travel_Rarely,Research & Development,19,2,Medical,2,3,1,Laboratory Technician,4,Divorced,2661,0,Y,No,11,3,3,3,2,3,2,2,1,2
28,Yes,19,Male,Travel_Rarely,Research & Development,24,3,Life Sciences,3,2,1,Laboratory Technician,3,Single,2028,5,Y,Yes,14,3,2,6,4,3,4,2,0,3
29,No,20,Female,Travel_Rarely,Research & Development,21,4,Life Sciences,2,4,3,Manufacturing Director,1,Divorced,9980,1,Y,No,11,3,3,10,1,3,10,9,8,8
32,No,21,Male,Travel_Rarely,Research & Development,5,2,Life Sciences,1,4,1,Research Scientist,2,Divorced,3298,0,Y,Yes,12,3,4,7,5,2,6,2,0,5
22,No,22,Male,Non-Travel,Research & Development,16,2,Medical,4,4,1,Laboratory Technician,4,Divorced,2935,1,Y,Yes,13,3,2,1,2,2,1,0,0,0
53,No,23,Female,Travel_Rarely,Sales,2,4,Life Sciences,1,2,4,Manager,4,Married,15427,2,Y,No,16,3,3,31,3,3,25,8,3,7
38,No,24,Male,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,1,Research Scientist,4,Single,3944,5,Y,Yes,11,3,3,6,3,3,3,2,1,2
24,No,26,Female,Non-Travel,Research & Development,11,2,Other,1,4,2,Manufacturing Director,3,Divorced,4011,0,Y,No,18,3,4,5,5,2,4,2,1,3
36,Yes,27,Male,Travel_Rarely,Sales,9,4,Life Sciences,3,2,1,Sales Representative,1,Single,3407,7,Y,No,23,4,2,10,4,3,5,3,0,3
34,No,28,Female,Travel_Rarely,Research & Development,7,4,Life Sciences,1,3,3,Research Director,2,Single,11994,0,Y,No,11,3,3,13,4,3,12,6,2,11
21,No,30,Male,Travel_Rarely,Research & Development,15,2,Life Sciences,3,3,1,Research Scientist,4,Single,1232,1,Y,No,14,3,4,0,6,3,0,0,0,0
34,Yes,31,Male,Travel_Rarely,Research & Development,6,1,Medical,2,3,1,Research Scientist,1,Single,2960,2,Y,No,11,3,3,8,2,3,4,2,1,3
53,No,32,Female,Travel_Rarely,Research & Development,5,3,Other,3,3,5,Manager,3,Divorced,19094,4,Y,No,11,3,4,26,3,2,14,13,4,8
32,Yes,33,Female,Travel_Frequently,Research & Development,16,1,Life Sciences,2,1,1,Research Scientist,1,Single,3919,1,Y,Yes,22,4,2,10,5,3,10,2,6,7
42,No,35,Male,Travel_Rarely,Sales,8,4,Marketing,3,3,2,Sales Executive,2,Married,6825,0,Y,No,11,3,4,10,2,3,9,7,4,2
44,No,36,Female,Travel_Rarely,Research & Development,7,4,Medical,1,2,3,Healthcare Representative,4,Married,10248,3,Y,No,14,3,4,24,4,3,22,6,5,17
46,No,38,Female,Travel_Rarely,Sales,2,4,Marketing,2,3,5,Manager,1,Single,18947,3,Y,No,12,3,4,22,2,2,2,2,2,1
33,No,39,Male,Travel_Rarely,Research & Development,2,3,Medical,3,3,1,Laboratory Technician,4,Single,2496,4,Y,No,11,3,4,7,3,3,1,1,0,0
44,No,40,Male,Travel_Rarely,Research & Development,10,4,Other,4,3,2,Healthcare Representative,4,Married,6465,2,Y,Yes,13,3,4,9,5,4,4,2,1,3
30,No,41,Male,Travel_Rarely,Research & Development,9,2,Medical,4,2,1,Laboratory Technician,3,Single,2206,1,Y,No,13,3,1,10,5,3,10,0,1,8
39,Yes,42,Male,Travel_Rarely,Sales,5,3,Technical Degree,4,3,2,Sales Representative,4,Married,2086,3,Y,No,14,3,3,19,6,4,1,0,0,0
24,Yes,45,Male,Travel_Rarely,Research & Development,1,3,Medical,2,3,1,Research Scientist,4,Married,2293,2,Y,Yes,16,3,1,6,2,2,2,0,2,0
43,No,46,Female,Travel_Rarely,Research & Development,2,2,Medical,4,4,1,Research Scientist,3,Divorced,2645,1,Y,No,12,3,4,6,3,2,5,3,1,4
50,Yes,47,Male,Travel_Rarely,Sales,3,2,Marketing,1,2,1,Sales Representative,3,Married,2683,1,Y,Yes,14,3,3,3,2,3,3,2,0,2
35,No,49,Female,Travel_Rarely,Sales,2,3,Marketing,4,3,1,Sales Representative,4,Married,2014,1,Y,No,13,3,1,2,3,3,2,2,2,2
36,No,51,Female,Travel_Rarely,Research & Development,5,4,Life Sciences,2,2,1,Research Scientist,1,Married,3419,9,Y,Yes,14,3,4,6,3,4,1,1,0,0
33,No,52,Female,Travel_Frequently,Sales,1,3,Life Sciences,3,4,2,Sales Executive,1,Married,5376,2,Y,No,19,3,1,10,3,3,5,3,1,3
35,No,53,Male,Travel_Rarely,Research & Development,4,2,Other,3,3,1,Laboratory Technician,4,Divorced,1951,1,Y,No,12,3,3,1,3,3,1,0,0,0
27,No,54,Female,Travel_Rarely,Research & Development,2,4,Life Sciences,4,3,1,Laboratory Technician,1,Divorced,2341,1,Y,No,13,3,4,1,6,3,1,0,0,0
26,Yes,55,Male,Travel_Rarely,Research & Development,25,3,Life Sciences,1,1,1,Laboratory Technician,3,Single,2293,1,Y,No,12,3,3,1,2,2,1,0,0,1
27,No,56,Male,Travel_Frequently,Sales,8,3,Life Sciences,4,3,3,Sales Executive,3,Single,8726,1,Y,No,15,3,4,9,0,3,9,8,1,7
30,No,57,Female,Travel_Frequently,Research & Development,1,2,Medical,3,3,2,Laboratory Technician,4,Single,4011,1,Y,No,23,4,4,12,2,3,12,8,3,7
41,Yes,58,Female,Travel_Rarely,Research & Development,12,3,Technical Degree,2,3,5,Research Director,3,Married,19545,1,Y,No,12,3,4,23,0,3,22,15,15,8
34,No,60,Male,Non-Travel,Sales,23,4,Marketing,2,3,2,Sales Executive,3,Single,4568,0,Y,No,20,4,3,10,2,3,9,5,8,7
37,No,61,Male,Travel_Rarely,Research & Development,19,2,Life Sciences,2,3,1,Research Scientist,2,Married,3022,4,Y,No,21,4,1,8,1,3,1,0,0,0
46,No,62,Male,Travel_Frequently,Sales,5,4,Marketing,1,3,2,Sales Executive,4,Single,5772,4,Y,Yes,21,4,3,14,4,3,9,6,0,8
35,No,63,Male,Travel_Rarely,Research & Development,8,1,Life Sciences,4,4,1,Laboratory Technician,4,Married,2269,1,Y,No,19,3,4,1,2,3,1,0,0,1
48,Yes,64,Male,Travel_Rarely,Research & Development,1,2,Life Sciences,1,2,3,Laboratory Technician,3,Single,5381,9,Y,Yes,13,3,4,23,2,3,1,0,0,0
28,Yes,65,Male,Travel_Rarely,Research & Development,5,4,Technical Degree,3,3,1,Laboratory Technician,3,Single,3441,1,Y,Yes,13,3,3,2,3,2,2,2,2,2
44,No,68,Female,Travel_Rarely,Sales,1,5,Marketing,2,3,2,Sales Executive,1,Divorced,5454,5,Y,Yes,21,4,3,9,2,2,4,3,1,3
35,No,70,Male,Non-Travel,Research & Development,11,2,Medical,3,2,3,Healthcare Representative,1,Married,9884,2,Y,Yes,13,3,3,10,3,3,4,0,2,3
26,No,72,Female,Travel_Rarely,Sales,23,3,Marketing,3,2,2,Sales Executive,4,Married,4157,7,Y,Yes,19,3,3,5,2,2,2,2,0,0
33,No,73,Female,Travel_Frequently,Research & Development,1,2,Life Sciences,1,3,3,Research Director,4,Single,13458,1,Y,Yes,12,3,3,15,1,3,15,14,8,12
35,No,74,Male,Travel_Frequently,Sales,18,5,Life Sciences,2,3,3,Sales Executive,1,Married,9069,1,Y,No,22,4,4,9,3,2,9,8,1,8
35,No,75,Female,Travel_Rarely,Research & Development,23,4,Medical,3,3,1,Laboratory Technician,1,Married,4014,3,Y,Yes,15,3,3,4,3,3,2,2,2,2
31,No,76,Male,Travel_Rarely,Research & Development,7,4,Life Sciences,4,3,2,Laboratory Technician,4,Divorced,5915,3,Y,No,22,4,4,10,3,2,7,7,1,7
37,No,77,Male,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2,2,Manufacturing Director,3,Divorced,5993,1,Y,No,18,3,3,7,2,4,7,5,0,7
32,No,78,Male,Travel_Rarely,Research & Development,1,3,Medical,1,3,2,Manufacturing Director,4,Married,6162,1,Y,Yes,22,4,2,9,3,3,9,8,7,8
38,No,79,Female,Travel_Frequently,Research & Development,29,5,Life Sciences,4,3,2,Laboratory Technician,4,Single,2406,1,Y,No,11,3,4,10,2,3,10,3,9,9
50,No,80,Female,Travel_Rarely,Research & Development,7,2,Medical,2,2,5,Research Director,3,Divorced,18740,5,Y,Yes,12,3,4,29,2,2,27,3,13,8
59,No,81,Female,Travel_Rarely,Sales,25,3,Life Sciences,1,3,3,Sales Executive,1,Single,7637,7,Y,No,11,3,4,28,3,2,21,16,7,9
36,No,83,Female,Travel_Rarely,Research & Development,8,3,Technical Degree,3,3,3,Healthcare Representative,3,Divorced,10096,1,Y,No,13,3,2,17,2,3,17,14,12,8
55,No,84,Female,Travel_Rarely,Research & Development,8,3,Medical,4,3,4,Manager,3,Divorced,14756,2,Y,Yes,14,3,3,21,2,3,5,0,0,2
36,No,85,Male,Travel_Frequently,Research & Development,11,3,Life Sciences,2,2,2,Manufacturing Director,2,Single,6499,1,Y,No,13,3,3,6,3,3,6,5,0,3
45,No,86,Male,Travel_Rarely,Research & Development,7,3,Life Sciences,2,3,3,Research Scientist,1,Divorced,9724,2,Y,No,17,3,3,25,2,3,1,0,0,0
35,No,88,Male,Travel_Frequently,Research & Development,1,3,Medical,2,3,1,Research Scientist,1,Married,2194,4,Y,No,13,3,4,5,2,2,3,2,1,2
36,Yes,90,Male,Travel_Rarely,Research & Development,9,3,Medical,4,2,1,Research Scientist,3,Married,3388,0,Y,Yes,17,3,1,2,0,2,1,0,0,0
59,No,91,Female,Travel_Frequently,Sales,1,1,Life Sciences,1,2,2,Sales Executive,3,Single,5473,7,Y,No,11,3,4,20,2,2,4,3,1,3
29,No,94,Male,Travel_Rarely,Research & Development,2,3,Life Sciences,3,3,1,Research Scientist,2,Married,2703,0,Y,No,23,4,4,6,3,3,5,4,0,4
31,No,95,Male,Travel_Rarely,Research & Development,1,4,Medical,3,3,1,Research Scientist,2,Single,2501,1,Y,No,17,3,2,1,4,3,1,1,1,0
32,No,96,Male,Travel_Rarely,Research & Development,1,3,Life Sciences,2,3,2,Research Scientist,2,Married,6220,1,Y,No,17,3,2,10,3,3,10,4,0,9
36,No,97,Female,Travel_Rarely,Research & Development,6,3,Life Sciences,2,4,1,Laboratory Technician,4,Married,3038,3,Y,No,12,3,2,5,3,3,1,0,0,0
31,No,98,Female,Travel_Rarely,Research & Development,8,4,Life Sciences,3,3,2,Manufacturing Director,4,Single,4424,1,Y,No,23,4,4,11,2,3,11,7,1,8
35,No,100,Male,Travel_Rarely,Sales,1,4,Marketing,3,2,2,Sales Executive,1,Single,4312,0,Y,No,14,3,2,16,2,3,15,13,2,8
45,No,101,Male,Travel_Rarely,Research & Development,6,4,Other,4,3,3,Research Director,1,Married,13245,4,Y,Yes,14,3,2,17,3,4,0,0,0,0
37,No,102,Male,Travel_Rarely,Research & Development,7,4,Medical,1,3,3,Research Director,3,Single,13664,4,Y,No,13,3,1,16,3,4,5,2,0,2
46,No,103,Male,Travel_Rarely,Human Resources,5,2,Medical,2,3,2,Human Resources,2,Divorced,5021,8,Y,Yes,22,4,4,16,2,3,4,2,0,2
30,No,104,Male,Travel_Rarely,Research & Development,1,1,Life Sciences,4,2,2,Laboratory Technician,4,Married,5126,1,Y,Yes,12,3,3,10,1,2,10,8,3,0
35,No,105,Male,Travel_Rarely,Research & Development,1,3,Medical,2,2,1,Research Scientist,3,Single,2859,1,Y,No,18,3,1,6,3,3,6,4,0,4
55,No,106,Male,Travel_Rarely,Sales,1,2,Life Sciences,1,3,3,Sales Executive,4,Married,10239,3,Y,No,14,3,4,24,4,3,1,0,1,0
38,No,107,Female,Non-Travel,Research & Development,6,3,Medical,2,1,2,Research Scientist,4,Divorced,5329,7,Y,Yes,12,3,4,17,3,3,13,11,1,9
34,No,110,Male,Travel_Rarely,Research & Development,1,2,Medical,1,3,2,Manufacturing Director,2,Married,4325,1,Y,No,15,3,3,5,2,3,5,2,1,3
56,No,112,Male,Travel_Rarely,Research & Development,7,3,Life Sciences,4,1,3,Manufacturing Director,4,Single,7260,4,Y,No,11,3,1,37,3,2,6,4,0,2
23,No,113,Male,Travel_Rarely,Sales,2,1,Technical Degree,3,3,1,Sales Representative,1,Divorced,2322,3,Y,No,13,3,3,3,3,3,0,0,0,0
51,No,116,Male,Travel_Rarely,Research & Development,9,4,Life Sciences,4,3,1,Laboratory Technician,4,Married,2075,3,Y,No,23,4,2,10,4,3,4,2,0,3
30,No,117,Male,Travel_Rarely,Research & Development,2,3,Life Sciences,3,2,2,Healthcare Representative,4,Married,4152,1,Y,No,19,3,1,11,3,3,11,10,10,8
46,Yes,118,Male,Travel_Rarely,Sales,9,2,Medical,3,2,3,Sales Executive,4,Single,9619,1,Y,No,16,3,4,9,3,3,9,8,4,7
40,No,119,Male,Travel_Frequently,Research & Development,1,4,Life Sciences,3,2,4,Healthcare Representative,2,Married,13503,1,Y,No,22,4,4,22,3,2,22,3,11,11
51,No,120,Male,Travel_Rarely,Sales,21,4,Marketing,3,3,2,Sales Executive,4,Single,5441,0,Y,Yes,22,4,4,11,2,1,10,7,1,0
30,No,121,Female,Travel_Rarely,Sales,4,2,Medical,3,2,2,Sales Executive,2,Divorced,5209,1,Y,Yes,12,3,2,11,4,2,11,8,2,7
46,No,124,Male,Travel_Frequently,Research & Development,1,3,Medical,3,2,3,Healthcare Representative,1,Married,10673,2,Y,Yes,13,3,3,21,5,2,10,9,9,5
32,No,125,Male,Travel_Rarely,Sales,6,4,Medical,2,3,2,Sales Executive,3,Single,5010,1,Y,No,16,3,1,12,0,3,11,8,5,7
54,No,126,Female,Travel_Rarely,Research & Development,2,4,Technical Degree,1,3,3,Research Director,3,Married,13549,9,Y,No,12,3,1,16,5,1,4,3,0,3
24,No,128,Female,Travel_Rarely,Sales,3,2,Other,1,3,2,Sales Executive,3,Married,4999,0,Y,No,21,4,1,4,2,2,3,2,0,2
28,No,129,Male,Non-Travel,Sales,4,3,Medical,2,3,2,Sales Executive,3,Married,4221,1,Y,No,15,3,2,5,3,4,5,4,0,4
58,No,131,Male,Travel_Rarely,Sales,10,4,Medical,4,3,4,Sales Executive,3,Single,13872,0,Y,No,13,3,3,38,1,2,37,10,1,8
